job_position,technology_skills,knowledge,skills
, Microsoft Office Presentation software ,,Active Learning
, Microsoft PowerPoint Spreadsheet software ,,Complex Problem Solving
, Microsoft Excel Word processing software ,,Learning Strategies
, Microsoft Word ,,Mathematics
,,,Operation Monitoring
,,,Coordination
,,,Quality Control Analysis
Human Factors Engineers and Ergonomists,Analytical or scientific software ,Psychology,Critical Thinking
, SAS  ,English Language,Complex Problem Solving
, The MathWorks MATLAB  ,Engineering and Technology,Active Listening
, Thought Technology BioGraph Infiniti,Mathematics,Reading Comprehension
, Triangle Research Collaborative Observational Coding System OCS Tools  (see all 19 examples)Computer aided design CAD software   ,Design,Speaking
, Dassault Systemes CATIA Development environment software ,Education and Training,Judgment and Decision Making
, Microsoft Visual Basic  ,Sociology and Anthropology,Social Perceptiveness
, National Instruments LabVIEW Graphical user interface development software ,Public Safety and Security,Writing
, Altia Design,Administration and Management,Systems Evaluation
, Seeing Machines faceLAB Graphics or photo imaging software ,Computers and Electronics,Active Learning
, Adobe Systems Adobe Fireworks,,Monitoring
, Adobe Systems Adobe Flash,,Technology Design
, Adobe Systems Adobe Photoshop  ,,Mathematics
, Microsoft Visio  (see all 5 examples)Internet browser software ,,Operations Analysis
, Apple Safari,,Systems Analysis
, Microsoft Internet Explorer,,Time Management
, Mozilla Firefox Object or component oriented development software ,,Instructing
, C++  ,,Learning Strategies
, jQuery  ,,Coordination
, Oracle Java Office suite software ,,
, Microsoft Office Presentation software ,,
, Microsoft PowerPoint Program testing software ,,
, TechSmith Morae Spreadsheet software ,,
, Microsoft Excel Video creation and editing software ,,
, TechSmith Camtasia Web page creation and editing software ,,
, Adobe Systems Adobe Dreamweaver Web platform development software ,,
, AJAX  ,,
, Cascading Style Sheets CSS  ,,
, Hypertext markup language HTML  ,,
, JavaScript  (see all 5 examples)Word processing software ,,
, Microsoft Word ,,
Industrial Engineers,Analytical or scientific software ,Engineering and Technology,Reading Comprehension
, Finite element method FEM software,Production and Processing,Active Listening
, The MathWorks MATLAB  ,Mathematics,Complex Problem Solving
, Windward Technologies GRG2,Mechanical,Critical Thinking
, Workcell simulation software  (see all 38 examples)Computer aided design CAD software   ,Design,Writing
, Autodesk AutoCAD  ,English Language,Speaking
, Bentley MicroStation  ,Computers and Electronics,Monitoring
, Dassault Systemes CATIA  ,Administration and Management,Judgment and Decision Making
, PTC Creo Parametric  (see all 12 examples)Computer aided manufacturing CAM software ,Education and Training,Active Learning
, EGS FeatureCAM Data base user interface and query software ,Customer and Personal Service,Coordination
, Microsoft Access  ,,Mathematics
, Structured query language SQL Development environment software ,,Time Management
, Integrated development environment IDE software  ,,Instructing
, Microsoft Visual Basic Scripting Edition VBScript  ,,Social Perceptiveness
, Microsoft Visual Studio  ,,Systems Analysis
, National Instruments LabVIEW  (see all 5 examples)Electronic mail software ,,Management of Personnel Resources
, IBM Notes Enterprise application integration software ,,Systems Evaluation
, Extensible markup language XML Enterprise resource planning ERP software   ,,
, SAP Expert system software ,,
, Decision support software Graphics or photo imaging software ,,
, Adobe Systems Adobe Fireworks,,
, Microsoft Visio Human resources software ,,
, Personnel scheduling software Industrial control software ,,
, Allen Bradley PanelView,,
, Human machine interface HMI software,,
, Nupro CastView,,
, Supervisory control and data acquisition SCADA software  (see all 9 examples)Inventory management software ,,
, Manhattan Associates PkMS Pickticket,,
, Oracle Retek,,
, Warehouse management system WMS Materials requirements planning logistics and supply chain software ,,
, Materials requirement planning MRP software,,
, Production scheduling and planning software,,
, Supply chain capacity planning software Object or component oriented development software ,,
, C++  ,,
, Python  ,,
, Sun Microsystems Java Office suite software ,,
, Microsoft Office Operating system software ,,
, Linux Presentation software ,,
, Microsoft PowerPoint Program testing software ,,
, Hewlett Packard LoadRunner  ,,
, Logic programming software,,
, Rockwell RSLogix,,
, User interface design software Project management software ,,
, Microsoft Project  ,,
, Microsoft SharePoint  ,,
, Process reengineering software,,
, Yield management systems Spreadsheet software ,,
, Microsoft Excel Word processing software ,,
, Microsoft Word ,,
Industrial Safety and Health Engineers,Analytical or scientific software ,English Language,Critical Thinking
, Root cause analysis software,Education and Training,Reading Comprehension
, Static strength prediction software,Public Safety and Security,Speaking
, The MathWorks MATLAB  ,Administration and Management,Writing
, Virtual interaction simulator software  (see all 25 examples)Compliance software ,Customer and Personal Service,Active Listening
, Fire safety inspection and testing software,Clerical,Judgment and Decision Making
, Material safety data sheet MSDS software,Law and Government,Systems Analysis
, Safety integrity level SIL software,Building and Construction,Systems Evaluation
," Safety, health, and environmental management software  (see all 6 examples)Computer aided design CAD software   ",Mechanical,Active Learning
, Electronic design automation EDA software,Psychology,Complex Problem Solving
, Roof support design software Computer based training software ,Mathematics,Monitoring
, Hazardous waste operations and emergency response standard HAZWOPER training software Data base user interface and query software ,Chemistry,Social Perceptiveness
, Anthropometric databases,Personnel and Human Resources,Learning Strategies
, Incident tracking software,Engineering and Technology,Science
, Microsoft Access Document management software ,Physics,Instructing
, Records management software Enterprise resource planning ERP software   ,Production and Processing,Persuasion
, SAP License management software ,Biology,Quality Control Analysis
, Permit administration software Map creation software ,Design,Coordination
, Geological mapping software Office suite software ,Computers and Electronics,Mathematics
, Microsoft Office Presentation software ,,Service Orientation
, Microsoft PowerPoint Project management software ,,Time Management
, Microsoft Project Spreadsheet software ,,Management of Personnel Resources
, Microsoft Excel Video creation and editing software ,,Negotiation
, Multimedia video analysis software Word processing software ,,Operation Monitoring
, Microsoft Word ,,
Manufacturing Engineers,Analytical or scientific software ,Engineering and Technology,Complex Problem Solving
, Minitab  ,Production and Processing,Mathematics
, The MathWorks MATLAB Computer aided design CAD software   ,Mechanical,Reading Comprehension
, Autodesk AutoCAD  ,Design,Active Listening
, Dassault Systemes CATIA  ,Mathematics,Judgment and Decision Making
, Dassault Systemes SOLIDWORKS  ,Computers and Electronics,Monitoring
, PTC Creo Parametric Computer aided manufacturing CAM software ,English Language,Operation Monitoring
, CNC Mastercam,Physics,Speaking
, Geometric CAMWorks,Administration and Management,Critical Thinking
, Siemens NX for Manufacturing Data base user interface and query software ,Education and Training,Systems Analysis
, FileMaker Pro,,Systems Evaluation
, Microsoft Access Development environment software ,,Writing
, C  ,,Active Learning
, Microsoft Visual Basic  ,,Technology Design
, National Instruments LabVIEW Electronic mail software ,,Time Management
, IBM Notes  ,,Troubleshooting
, Microsoft Outlook Enterprise resource planning ERP software   ,,Learning Strategies
, Product lifecycle management PLM software,,Operations Analysis
, SAP Graphics or photo imaging software ,,Quality Control Analysis
, Microsoft Visio Industrial control software ,,Instructing
, Computer numerical control CNC software,,Persuasion
, Supervisory control and data acquisition SCADA software Internet browser software ,,Science
, Microsoft Internet Explorer,,Coordination
, Web browser software Office suite software ,,Management of Material Resources
, Microsoft Office Presentation software ,,Negotiation
, Microsoft PowerPoint Project management software ,,Service Orientation
, Microsoft Project  ,,Social Perceptiveness
, Microsoft SharePoint  ,,
, SolidWorks Enterprise PDM Spreadsheet software ,,
, Microsoft Excel Word processing software ,,
, Microsoft Word ,,
Marine Architects,Analytical or scientific software ,Engineering and Technology,Reading Comprehension
, ANSYS FLUENT,Mathematics,Active Listening
, Herbert Software Solutions HECSALV,Design,Critical Thinking
, MSC Software Nastran,Physics,Judgment and Decision Making
, Seasafe Marine Software Seasafe  (see all 11 examples)Computer aided design CAD software   ,English Language,Mathematics
, AeroHydro MultiSurf,Computers and Electronics,Speaking
, Autodesk AutoCAD  ,Building and Construction,Complex Problem Solving
, Dassault Systemes SOLIDWORKS  ,Administration and Management,Operations Analysis
, The Napa Group NAPA  (see all 7 examples)Data base user interface and query software ,Customer and Personal Service,Active Learning
, Microsoft Access Electronic mail software ,Transportation,Writing
, Microsoft Outlook Office suite software ,Mechanical,Monitoring
, Microsoft Office Presentation software ,Production and Processing,Systems Analysis
, Microsoft PowerPoint Project management software ,,Coordination
, Microsoft Project Spreadsheet software ,,Quality Control Analysis
, Microsoft Excel Word processing software ,,Social Perceptiveness
, Microsoft Word ,,Systems Evaluation
,,,Time Management
,,,Science
Marine Engineers,Analytical or scientific software ,Engineering and Technology,Critical Thinking
, ANSYS FLUENT,Mechanical,Active Listening
, Strand7,Mathematics,Reading Comprehension
, Tension Technology International OPTIMOOR,Physics,Speaking
, The MathWorks MATLAB  (see all 9 examples)Computer aided design CAD software   ,Design,Complex Problem Solving
, Autodesk AutoCAD  ,English Language,Judgment and Decision Making
, PTC Creo Parametric  ,Transportation,Monitoring
, ShipConstructor,Public Safety and Security,Science
, Structural Dynamics StruCAD*3D  (see all 10 examples)Data base user interface and query software ,Administration and Management,Operation Monitoring
, Microsoft Access Document management software ,,Operations Analysis
, Adobe Systems Adobe Acrobat Electronic mail software ,,Writing
, Microsoft Outlook Enterprise resource planning ERP software   ,,Mathematics
, SAP Facilities management software ,,Systems Analysis
, Seaworthy Systems Shipboard Automated Maintenance Management SAMM Graphics or photo imaging software ,,Time Management
, McNeel Rhino software Office suite software ,,Active Learning
, Microsoft Office Project management software ,,Management of Personnel Resources
, Microsoft Project  ,,Quality Control Analysis
, Oracle Primavera Systems Spreadsheet software ,,Coordination
, IBM Lotus 1-2-3,,Systems Evaluation
, Microsoft Excel Word processing software ,,Troubleshooting
, Microsoft Word ,,Instructing
