job_position,technology_skills,knowledge,skills
, Oracle JD Edwards EnterpriseOne  ,,Active Learning
, SAP Enterprise system management software ,,Writing
, Microsoft System Center Internet browser software ,,Judgment and Decision Making
, Web browser software Office suite software ,,Mathematics
, Corel WordPerfect Office Suite,,Negotiation
, Microsoft Office Presentation software ,,Time Management
, Microsoft PowerPoint Spreadsheet software ,,
, Microsoft Excel Word processing software ,,
, Microsoft Word ,,
"Order Fillers, Wholesale and Retail Sales",Data base user interface and query software ,,
, Data entry software Electronic mail software ,,
, Email software,,
, Microsoft Outlook Enterprise resource planning ERP software   ,,
, SAP Inventory management software ,,
, Inventory tracking software Office suite software ,,
, Microsoft Office Spreadsheet software ,,
, Microsoft Excel Voice synthesizer and recognition software ,,
, Voice picking software Word processing software ,,
, Microsoft Word ,,
Patient Representatives,Analytical or scientific software ,Customer and Personal Service,Active Listening
, Patient satisfaction assessment software Calendar and scheduling software ,Psychology,Service Orientation
, Scheduling software Customer relationship management CRM software ,Therapy and Counseling,Social Perceptiveness
, CareOne CareEnsure,English Language,Speaking
, Customer Expressions i-Sight,Education and Training,Critical Thinking
, Prognosis Solutions ResolvPRM,Sociology and Anthropology,Coordination
, rL Solutions Feedback MonitorPro  (see all 7 examples)Data base user interface and query software ,Law and Government,Persuasion
, Database software Electronic mail software ,Public Safety and Security,Reading Comprehension
, Microsoft Outlook Internet browser software ,Medicine and Dentistry,Time Management
, Web browser software Medical software ,Administration and Management,Active Learning
," Admissions, discharge, and transfer ADT software",Clerical,Judgment and Decision Making
, Epic Systems  ,Computers and Electronics,Monitoring
, Medical procedure coding software  ,Transportation,Negotiation
, MEDITECH software  (see all 9 examples)Office suite software ,Personnel and Human Resources,Writing
, Corel WordPerfect Office Suite,,Complex Problem Solving
, Microsoft Office Operating system software ,,Instructing
, Microsoft Windows Presentation software ,,Learning Strategies
, Microsoft PowerPoint Spreadsheet software ,,
, Microsoft Excel Word processing software ,,
, Microsoft Word ,,
Payroll and Timekeeping Clerks,Accounting software ,Clerical,Active Listening
, Fund accounting software  ,English Language,Reading Comprehension
, Intuit QuickBooks  ,Mathematics,Speaking
, Sage 50 Accounting,Customer and Personal Service,Critical Thinking
, Tax software  (see all 6 examples)Compliance software ,Personnel and Human Resources,Writing
, BSI ComplianceFactory Data base user interface and query software ,Computers and Electronics,Mathematics
, ADP Workforce Now  ,,Monitoring
, Data entry software  ,,Time Management
, Microsoft Access Electronic mail software ,,
, Email software,,
, IBM Notes  ,,
, Microsoft Outlook  ,,
, Novell GroupWise Enterprise resource planning ERP software   ,,
, Microsoft Dynamics  ,,
, NetSuite ERP  ,,
, Oracle Fusion Applications  ,,
, SAP  (see all 7 examples)Financial analysis software ,,
, Oracle E-Business Suite Financials Human resources software ,,
, API Navigator,,
, Human resource management software HRMS  ,,
, Human Resource MicroSystems HR Entre,,
, Ultimate Software UltiPro Workplace  (see all 6 examples)Internet browser software ,,
, Netscape Navigator,,
, Web browser software Office suite software ,,
, Microsoft Office Presentation software ,,
, Microsoft PowerPoint Spreadsheet software ,,
, Microsoft Excel Time accounting software ,,
, Kronos Workforce Payroll,,
, UNITIME,,
, Virtual Software Virtual Timecard,,
, WorkForce Software EmpCenter Time and Attendance  (see all 24 examples)Word processing software ,,
, Microsoft Word ,,
Postal Service Clerks,Accounting software ,Customer and Personal Service,Active Listening
, Budgeting software Enterprise resource planning ERP software   ,English Language,Speaking
, Delivery operations information system DOIS Human resources software ,Mathematics,Reading Comprehension
, Time and Attendance Collection System TACS Inventory management software ,Clerical,Service Orientation
, Inventory tracking software Operating system software ,Sales and Marketing,Critical Thinking
, Microsoft Windows Point of sale POS software ,Computers and Electronics,Monitoring
, NCR Advanced Store Time accounting software ,Transportation,Social Perceptiveness
, Electronic Time Clock ETC ,,Time Management
Postal Service Mail Carriers,Data base user interface and query software ,,
, Address Management System AMS,,
, Automated Data Collection System ADCS,,
, End of Run Report EOR Enterprise resource planning ERP software   ,,
, Delivery operations information system DOIS Human resources software ,,
, Time and Attendance Collection System TACS Map creation software ,,
, Delivery Routing System DRS Operating system software ,,
, Microsoft Windows Time accounting software ,,
, Electronic Time Clock ETC ,,
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",Bar coding software ,,
, Barcode reader software Data base user interface and query software ,,
, Address Management System AMS,,
, Directory software Enterprise resource planning ERP software   ,,
, Delivery Operations Information System DOIS Human resources software ,,
, Time and Attendance Collection System TACS Inventory management software ,,
, Automated Package Processing System APPS Map creation software ,,
, Delivery Routing System DRS Optical character reader OCR or scanning software ,,
, Multi-line optical character reader OCR software Point of sale POS software ,,
